id,EAP,HPL,MWS
id02310,0.070604175,0.033097554,0.8962983
id24541,0.99304163,0.004196798,0.0027615863
id00134,0.023311844,0.97474176,0.0019464246
id27757,0.768805,0.2205144,0.010680592
id04081,0.79966664,0.08585489,0.11447847
id27337,0.73249173,0.24098422,0.026524056
id24265,0.9631424,0.025159542,0.011698135
id25917,0.040606827,0.05432071,0.90507245
id04951,0.99760026,0.0017499613,0.0006497873
id14549,0.92244786,0.013372761,0.06417932
id22505,0.03309356,0.34931904,0.6175875
id24002,0.0011882102,0.99852633,0.00028545014
id18982,0.037050266,0.46491462,0.49803507
id15181,0.0036016111,0.99582714,0.00057126826
id21888,0.6807715,0.09372934,0.22549915
id12035,0.015668405,0.003998967,0.9803326
id17991,0.80905175,0.057717018,0.1332312
id10707,0.9977671,0.0010084781,0.0012243997
id07101,0.22737168,0.4446036,0.3280248
id00345,0.70797753,0.27405298,0.01796945
id05912,0.8795162,0.06791565,0.05256818
id13443,0.9152221,0.04667246,0.038105447
id09248,0.4241711,0.12983824,0.44599065
id17542,0.04681455,0.9448071,0.008378337
id06995,0.22907943,0.02695124,0.7439694
id25159,0.30093598,0.017988462,0.6810756
id25729,0.8698645,0.08809497,0.04204054
id26949,0.70886385,0.19918518,0.091950886
id27191,0.81844395,0.018719885,0.1628361
id07668,0.89821976,0.017774552,0.0840057
id02230,0.030858126,0.025404505,0.9437374
id15553,0.9948797,0.0033673036,0.0017529597
id25688,0.0018902791,0.99733007,0.0007796866
id17545,0.88110584,0.10594034,0.012953776
id13929,0.23887017,0.49337468,0.26775515
id12880,0.3315527,0.1566872,0.5117601
id19282,0.43226972,0.4544828,0.11324751
id14690,0.0013249613,0.0005309757,0.99814415
id17975,0.0067110234,0.9891651,0.004123888
id08037,0.9114871,0.034785267,0.05372764
id15412,0.14305694,0.030908452,0.82603455
id25032,0.63317275,0.10592319,0.26090413
id27165,0.9967464,0.0022166981,0.0010368748
id03327,0.78758454,0.15387769,0.05853773
id18515,0.9881017,0.007453552,0.0044446765
id21003,0.21685795,0.08538107,0.69776106
id23855,0.00529281,0.9908921,0.0038150484
id20724,0.68069506,0.08644608,0.23285894
id13303,0.80399114,0.033868358,0.16214046
id16521,0.042998634,0.35938528,0.59761614
id20775,0.99480164,0.0024539775,0.002744364
id13029,0.84338826,0.06292595,0.093685806
id14660,0.5870665,0.34030148,0.07263202
id11028,0.004061948,0.00044755332,0.9954906
id14180,0.99586856,0.0028183074,0.0013131188
id25860,0.9913384,0.00601592,0.0026456825
id11910,0.5997016,0.059535563,0.3407628
id08065,0.36857647,0.12966487,0.50175864
id22674,0.0012121726,0.0005300107,0.9982578
id25018,0.792936,0.010982913,0.19608112
id10892,0.018251639,0.9754862,0.0062621175
id10217,0.07431649,0.9074529,0.018230597
id12996,0.5369449,0.13631089,0.32674423
id18262,0.9775629,0.011648077,0.010788954
id08606,0.00459219,0.994306,0.0011017278
id17233,0.8547424,0.06474185,0.080515735
id00101,0.5853765,0.3525719,0.06205161
id12225,0.8712697,0.08933535,0.03939501
id01364,0.036389973,0.9601765,0.0034335284
id24973,0.9288711,0.036358953,0.034769885
id25363,0.9898746,0.0021019953,0.00802348
id10061,0.7548838,0.06958262,0.17553361
id17673,0.33552054,0.47401416,0.1904653
id13249,0.41781121,0.0633699,0.51881886
id10107,0.0023472067,0.0004383719,0.9972144
id04403,0.9823806,0.005760651,0.011858698
id25728,0.98667616,0.0066759326,0.0066479873
id16184,0.49161443,0.1252933,0.3830922
id03438,0.109571174,0.005200112,0.88522875
id22923,0.039844077,0.9564798,0.0036761656
id08610,0.9947678,0.0011765554,0.004055605
id25355,0.36994362,0.13668549,0.49337086
id16916,0.64280313,0.29903108,0.058165792
id12793,0.09291226,0.8834583,0.023629475
id11859,0.86412495,0.010980422,0.124894634
id02434,0.9949832,0.0033274929,0.0016892811
id27703,0.01801688,0.010057635,0.97192544
id25212,0.2041713,0.77311695,0.022711786
id11308,0.28646109,0.337431,0.37610784
id26094,0.95529145,0.038785733,0.0059228395
id22080,0.6425985,0.35076737,0.006634149
id03545,0.9159328,0.077978715,0.006088494
id23725,0.028493486,0.04004364,0.9314628
id12009,0.91796565,0.037075747,0.04495852
id24241,0.51979905,0.18264024,0.29756072
id03596,0.001541309,0.9979176,0.000541096
id10749,0.005610217,0.99224114,0.0021486087
id22794,0.020508252,0.026798561,0.9526933
id15482,0.4774283,0.36730605,0.1552657
id04833,0.90982765,0.07852869,0.01164371
id00397,0.11505844,0.017029572,0.86791205
id14691,0.21953015,0.035968255,0.74450165
id05193,0.15441936,0.011598793,0.8339818
id19541,0.9945785,0.004455746,0.00096576585
id22166,0.0006940599,0.00036566422,0.9989403
id20744,0.10665265,0.013720988,0.8796264
id10392,0.0030137708,0.0013110783,0.99567515
id00770,0.9906369,0.00643014,0.002932944
id06018,0.2861152,0.687218,0.026666747
id15678,0.58132756,0.017210841,0.40146163
id08305,0.9144297,0.07429038,0.01127986
id08903,0.8112635,0.051049236,0.13768731
id14752,0.72856736,0.23247114,0.038961478
id12468,0.050203785,0.93555,0.014246223
id05085,0.25116557,0.73285204,0.015982341
id21993,0.1830951,0.018405402,0.7984995
id15503,0.90021574,0.09176008,0.0080242
id03021,0.020736637,0.9524477,0.026815655
id16123,0.9986953,0.0008640502,0.00044066808
id19383,0.99430096,0.0036808033,0.0020182212
id04186,0.9970107,0.0015734821,0.0014157202
id17954,0.028763345,0.003613451,0.9676232
id12030,0.41625682,0.02270007,0.56104314
id13020,0.7765697,0.21228626,0.01114399
id25327,0.0060103056,0.9919327,0.0020569928
id16344,0.041306537,0.12773843,0.8309551
id12303,0.14341292,0.8512238,0.0053632637
id15017,0.9926691,0.0048748245,0.0024560222
id22308,0.08511079,0.016523967,0.8983652
id06536,0.016711297,0.019549137,0.9637396
id19797,0.2568621,0.6102099,0.13292804
id06332,0.3174765,0.59237057,0.09015296
id22941,0.40405738,0.30805945,0.28788313
id13547,0.027687358,0.29554376,0.67676884
id06928,0.09822248,0.007417159,0.8943603
id12521,0.11730698,0.86555254,0.017140508
id25716,0.75376827,0.011853735,0.23437797
id27116,0.0006745717,0.0002557996,0.99906963
id19941,0.014677667,0.9810219,0.004300428
id05711,0.00075161294,0.00036107833,0.99888736
id02097,0.0014212494,0.00086997246,0.9977087
id03563,0.020754755,0.97385854,0.0053866776
id02295,0.4266144,0.5108521,0.06253352
id08179,0.9881363,0.0049500666,0.0069135753
id05332,0.0048922854,0.9941571,0.00095057423
id15697,0.9557326,0.035906903,0.008360517
id17026,0.6355855,0.06000621,0.30440828
id04243,0.18374923,0.80810463,0.008146066
id13175,0.99816245,0.00078762777,0.0010499326
id05387,0.98111033,0.014514467,0.004375223
id19989,0.88654774,0.10530274,0.008149442
id25173,0.5725356,0.15665428,0.27081022
id08925,0.0064589377,0.99186826,0.001672769
id03034,0.0060842023,0.96278566,0.03113009
id13272,0.0017420466,0.99721473,0.0010432844
id07956,0.99065125,0.0027577237,0.0065910076
id02648,0.015302592,0.015143766,0.9695537
id01778,0.050679095,0.0075725815,0.9417483
id12846,0.00029514864,0.00026616768,0.9994387
id19001,0.2270457,0.053817384,0.7191369
id05763,0.7006511,0.08503784,0.21431105
id15590,0.0009645881,0.00020818038,0.9988273
id04912,0.7709934,0.14650558,0.08250095
id21201,0.8634855,0.110826634,0.025687909
id13215,0.9950117,0.0023801562,0.0026081952
id15612,0.003351907,0.9943547,0.0022933504
id18501,0.09668471,0.02763304,0.8756823
id07223,0.6719971,0.18828557,0.13971739
id06707,0.6524336,0.1196831,0.2278833
id05238,0.0015807756,0.99708074,0.0013384835
id00935,0.025116216,0.17031921,0.8045646
id00110,0.062244292,0.019362831,0.9183929
id17476,0.9786266,0.016664032,0.004709444
id15170,0.9670706,0.020802898,0.0121266
id13397,0.30351216,0.03150197,0.6649859
id24283,0.5031395,0.39198077,0.1048797
id15234,0.9821968,0.011665706,0.0061374214
id16884,0.35448655,0.5995071,0.04600637
id07831,0.48995483,0.3806664,0.12937877
id16038,0.9545189,0.027950477,0.017530661
id03629,0.9702144,0.011316721,0.018468767
id21019,0.8586444,0.04965929,0.09169635
id21835,0.5619047,0.14260863,0.29548657
id04480,0.015431585,0.9833664,0.0012019787
id20838,0.015924975,0.9813835,0.002691551
id24195,0.36999163,0.17431533,0.45569298
id05448,0.90320647,0.080235794,0.016557675
id15957,0.025086718,0.97005534,0.0048579867
id19956,0.08769603,0.013816107,0.89848787
id15104,0.0034921893,0.008930596,0.9875772
id17559,0.82136166,0.102043495,0.07659481
id16839,0.24344479,0.12448436,0.63207084
id14493,0.4837146,0.012918106,0.5033673
id08833,0.83248127,0.01219858,0.15532018
id15723,0.2979295,0.09352846,0.6085421
id02716,0.9980259,0.0010201875,0.0009539741
id06689,0.0063500907,0.99224114,0.0014087609
id18837,0.12507993,0.14999843,0.7249216
id04466,0.9178587,0.075547546,0.0065937783
id00686,0.78993386,0.17045188,0.039614245
id09010,0.08389216,0.9067985,0.009309348
id23353,0.9832827,0.003173226,0.013544049
id00066,0.92274,0.06993226,0.0073277284
id15724,0.11548097,0.86925983,0.015259214
id23486,0.32546395,0.01951918,0.6550169
id22258,0.0030080464,0.0017335238,0.9952584
id02292,0.38315594,0.30408415,0.31275982
id16356,0.2709914,0.09107846,0.6379301
id00235,0.38667116,0.53953224,0.0737966
id25522,0.46042433,0.086145096,0.4534306
id04204,0.04315306,0.9547902,0.0020567556
id22016,0.7315981,0.039516628,0.22888532
id06480,0.004507367,0.99305516,0.0024374581
id08718,0.105482236,0.008902078,0.8856157
id05251,0.0027961233,0.9948776,0.0023262936
id03359,0.66255075,0.29205725,0.04539206
id16117,0.17592317,0.028753407,0.79532343
